Claim,Source,Node,Edge,Label
Finding Dory was written.,response,>,Generate,Generate
Finding Dory was directed.,response,>,Generate,Generate
Finding Dory was directed by Angus MacLane.,response,>,Generate,Generate
Finding Dory was penned by Andrew Stanton.,response,>,Generate,Generate
Finding Dory was penned by Andrew Stanton.,response,Stanton,Finding Dory,penned
Finding Dory was penned by Andrew Stanton.,response,who,Stanton,directed
Finding Dory was penned by Andrew Stanton.,response,who,Finding Nemo,directed
Finding Dory was penned by Andrew Stanton.,response,Stanton,Finding Dory,penned
Finding Dory was directed by an American.,response,>,Generate,Generate
Finding Dory was directed by an American.,response,I,AI,'m
Finding Dory was directed by an American.,response,that,Ellen DeGeneres,includes
Finding Dory was penned by Victoria Strouse.,response,>,Generate,Generate
Finding Dory was written by someone.,response,>,Generate,Generate
Kentucky is known for bluegrass music.,wiki,Kentucky,one,is
Kentucky is known for bluegrass music.,wiki,One,the Bluegrass Region,is
Kentucky is known for bluegrass music.,wiki,which,the Bluegrass Region,houses
Kentucky is known for bluegrass music.,wiki,which,two,houses
Kentucky is known for bluegrass music.,wiki,It,Mammoth Cave National Park,is
Kentucky is known for bluegrass music.,wiki,Kentucky,one,is
Kentucky is known for bluegrass music.,wiki,One,the Bluegrass Region,is
Kentucky is known for bluegrass music.,wiki,which,the Bluegrass Region,houses
Kentucky is known for bluegrass music.,wiki,which,two,houses
Kentucky is known for bluegrass music.,wiki,It,Mammoth Cave National Park,is
Kentucky is known for bluegrass music.,response,>,Generate,Generate
Kentucky is famous for its bourbon distilleries.,wiki,Kentucky,one,is
Kentucky is famous for its bourbon distilleries.,wiki,One,the Bluegrass Region,is
Kentucky is famous for its bourbon distilleries.,wiki,which,the Bluegrass Region,houses
Kentucky is famous for its bourbon distilleries.,wiki,which,two,houses
Kentucky is famous for its bourbon distilleries.,wiki,It,Mammoth Cave National Park,is
Kentucky is famous for its bourbon distilleries.,wiki,Kentucky,one,is
Kentucky is famous for its bourbon distilleries.,wiki,One,the Bluegrass Region,is
Kentucky is famous for its bourbon distilleries.,wiki,which,the Bluegrass Region,houses
Kentucky is famous for its bourbon distilleries.,wiki,which,two,houses
Kentucky is famous for its bourbon distilleries.,wiki,It,Mammoth Cave National Park,is
Kentucky is famous for its bourbon distilleries.,response,>,Generate,Generate
Kentucky is famous for its bourbon distilleries.,response,state,over 95%,producing
Kentucky is famous for its bourbon distilleries.,response,that,the Kentucky Bourbon Trail,takes
Kentucky is famous for its bourbon distilleries.,response,which,the Bourbon Country Convention and Visitors Bureau,promotes
Kentucky is famous for its bourbon distilleries.,response,state,95%,produces
Kentucky is known for horse racing.,wiki,Kentucky,one,is
Kentucky is known for horse racing.,wiki,One,the Bluegrass Region,is
Kentucky is known for horse racing.,wiki,which,the Bluegrass Region,houses
Kentucky is known for horse racing.,wiki,which,two,houses
Kentucky is known for horse racing.,wiki,It,Mammoth Cave National Park,is
Kentucky is known for horse racing.,wiki,Kentucky,one,is
Kentucky is known for horse racing.,wiki,One,the Bluegrass Region,is
Kentucky is known for horse racing.,wiki,which,the Bluegrass Region,houses
Kentucky is known for horse racing.,wiki,which,two,houses
Kentucky is known for horse racing.,wiki,It,Mammoth Cave National Park,is
Kentucky is known for horse racing.,response,>,Generate,Generate
Kentucky is known for horse racing.,response,industry,billions of dollars,contributes
Kentucky is known for horse racing.,response,One,the Kentucky Derby,is
Kentucky is known for horse racing.,response,state,over 95%,producing
Kelly Preston starred in the film Broken Bridges.,wiki,She,The Cat,starred
Kelly Preston starred in the film Broken Bridges.,wiki,She,The Cat,starred
Kelly Preston starred in the film Broken Bridges.,response,>,Generate,Generate
Kelly Preston was in multiple job positions.,wiki,She,The Cat,starred
Kelly Preston was in multiple job positions.,wiki,She,The Cat,starred
Kelly Preston was in multiple job positions.,response,>,Generate,Generate
"Kelly Preston starred in multiple films like The Cat in the Hat, Old Dogs, and Broken Bridges.",wiki,She,The Cat,starred
"Kelly Preston starred in multiple films like The Cat in the Hat, Old Dogs, and Broken Bridges.",wiki,She,The Cat,starred
"Kelly Preston starred in multiple films like The Cat in the Hat, Old Dogs, and Broken Bridges.",response,>,Generate,Generate
"Kelly Preston starred in multiple films like The Cat in the Hat, Old Dogs, and Broken Bridges.",response,I,Kelly Preston,generate
Kelly Preston starred in multiple television shows.,wiki,She,The Cat,starred
Kelly Preston starred in multiple television shows.,wiki,She,The Cat,starred
Kelly Preston starred in multiple television shows.,response,>,Generate,Generate
Kelly Preston starred in multiple television shows.,response,Girl,What a Girl Wants,Wants
Kelly Preston starred in The Cat in the Hat.,wiki,She,The Cat,starred
Kelly Preston starred in The Cat in the Hat.,wiki,She,The Cat,starred
Kelly Preston starred in The Cat in the Hat.,response,>,Generate,Generate
Kelly Preston starred in films.,wiki,She,The Cat,starred
Kelly Preston starred in films.,wiki,She,The Cat,starred
Kelly Preston starred in films.,response,>,Generate,Generate
Kelly Preston starred in films.,response,she,30s,played
Kelly Preston starred in films.,response,who,Preston,is
Kelly Preston starred in films.,response,who,Psychologist,is
Kelly Preston starred in films.,response,who,Jerry Maguire,has
Kelly Preston starred in films.,response,she,Jerry Maguire,played
Kelly Preston starred in the film Old Dogs.,wiki,She,The Cat,starred
Kelly Preston starred in the film Old Dogs.,wiki,She,The Cat,starred
Kelly Preston starred in the film Old Dogs.,response,>,Generate,Generate
Kelly Preston starred in the film Old Dogs.,response,film,John Travolta,stars
Kesha has a full name.,response,>,Generate,Generate
Kesha has a full name.,response,name,Kesha Rose Sebert,is
Kesha has a full name.,response,which,Tik Tok,topped
Kesha has a full name.,response,We,Die Young,R
"Kesha was baptized on March 1st, 1987.",response,>,Generate,Generate
"Kesha was born on March 1st, 1987.",response,>,Generate,Generate
Kesha Rose Sebert is Kesha's birth name.,response,>,Generate,Generate
"Kesha sings, writes songs, and raps for a living.",response,>,Generate,Generate
Kesha is an American.,response,>,Generate,Generate
Kesha is an American.,response,Kesha,American,is
Kesha is an American.,response,Kesha,American,is
Kesha is an American.,response,name,Kesha,is
Kesha is an American.,response,name,Kesha Rose Sebert,is
"Kesha's full name is Kesha Rosa Sebert, a name given to her by her parents.",response,>,Generate,Generate
"Kesha's full name is Kesha Rosa Sebert, a name given to her by her parents.",response,Statement,Kesha Rosa Sebert,is
A Floppy disk is composed of a thin and flexible magnetic transmission medium.,response,>,Generate,Generate
A Floppy disk is a type of storage.,response,>,Generate,Generate
A Floppy disk is a type of storage.,response,IBM,the 1960s,developed
A Floppy disk is a disk storage type.,response,>,Generate,Generate
A Floppy disk is a disk storage type.,response,disks,8-inch,were
A Floppy disk is sealed in plastic.,response,>,Generate,Generate
A Floppy disk is sealed in a rectangular plastic enclosure.,response,>,Generate,Generate
The horse has changed in size as it evolved.,wiki,-RRB-,one,is
The horse has changed in size as it evolved.,wiki,-RRB-,one,is
The horse has changed in size as it evolved.,response,>,Generate,Generate
The horse has increased in size as it evolved.,wiki,-RRB-,one,is
The horse has increased in size as it evolved.,wiki,-RRB-,one,is
The horse has increased in size as it evolved.,response,>,Generate,Generate
The horse started to become domesticated around 4000 BC.,wiki,-RRB-,one,is
The horse started to become domesticated around 4000 BC.,wiki,-RRB-,one,is
The horse started to become domesticated around 4000 BC.,response,>,Generate,Generate
The horse started to become domesticated around 4000 BC.,response,document,I. History of,provide
The horse was domesticated on a broad scale by 3000 BC.,wiki,-RRB-,one,is
The horse was domesticated on a broad scale by 3000 BC.,wiki,-RRB-,one,is
The horse was domesticated on a broad scale by 3000 BC.,response,>,Generate,Generate
The horse was called a Eohippus when it had multiple toes.,wiki,-RRB-,one,is
The horse was called a Eohippus when it had multiple toes.,wiki,-RRB-,one,is
The horse was called a Eohippus when it had multiple toes.,response,>,Generate,Generate
The horse was domesticated on a wide scale by 3000 BC.,wiki,-RRB-,one,is
The horse was domesticated on a wide scale by 3000 BC.,wiki,-RRB-,one,is
The horse was domesticated on a wide scale by 3000 BC.,response,>,Generate,Generate
The horse was domesticated on a wide scale by 3000 BC.,response,who,Sumerians,recorded
The horse was domesticated on a wide scale by 3000 BC.,response,who,Mesopotamia,recorded
The horse has grown in size as it evolved.,wiki,-RRB-,one,is
The horse has grown in size as it evolved.,wiki,-RRB-,one,is
The horse has grown in size as it evolved.,response,>,Generate,Generate
The horse was referred to as a Eohippus when it had multiple toes.,wiki,-RRB-,one,is
The horse was referred to as a Eohippus when it had multiple toes.,wiki,-RRB-,one,is
The horse was referred to as a Eohippus when it had multiple toes.,response,>,Generate,Generate
Forceps are a hinged instrument.,response,>,Generate,Generate
Forceps are an instrument that are handheld.,response,>,Generate,Generate
Forceps are used for grasping and holding objects.,response,>,Generate,Generate
Forceps are a tool.,response,>,Generate,Generate
Forceps are used for grasping.,response,>,Generate,Generate
Forceps are used for grasping objects.,response,>,Generate,Generate
The Closer's final season was its seventh season.,response,>,Generate,Generate
The Closer's final season was its seventh season.,response,Statement,its seventh season,was
The Closer's final season was its seventh season.,response,season,its seventh season,was
The Closer's final season was its seventh season.,response,who,Brenda Leigh Johnson,heads
The Closer's final season was its seventh season.,response,who,the Major Crimes Division,heads
The Closer's final season was its seventh season.,response,who,Robert Forster,reprises
The Closer's final season was its seventh season.,response,season,its seventh season,was
"The Closer's seventh season began on July 11, 2011.",response,>,Generate,Generate
The Closer's seventh season began in July 2011.,response,>,Generate,Generate
The Closer's seventh season began in July 2011.,response,It,Kyra Sedgwick,starred
Robert Palmer (writer) has written for the New York Times.,response,>,Generate,Generate
Robert Palmer (writer) has written for the New York Times.,response,he,The New York Times,wrote
Robert Palmer (writer) wrote Deep Blues.,response,>,Generate,Generate
Robert Palmer (writer) wrote Deep Blues.,response,Statement,Deep Blues,wrote
Robert Palmer (writer) has produced blues recordings.,response,>,Generate,Generate
Robert Palmer (writer) has produced blues recordings.,response,Me,The Animals' Greatest Hits,Be
Robert Palmer (writer) is involved in media.,response,>,Generate,Generate
Robert Palmer (writer) has written for a newspaper.,response,>,Generate,Generate
Robert Palmer (writer) has written for a newspaper.,response,he,Oxford University,studied
Robert Palmer (writer) played the clarinet in a band.,response,>,Generate,Generate
The Concert for Bangladesh is recognized as a highly successful and influential project.,wiki,that,Harrison,included
The Concert for Bangladesh is recognized as a highly successful and influential project.,wiki,that,Live Aid,followed
The Concert for Bangladesh is recognized as a highly successful and influential project.,wiki,that,Harrison,included
The Concert for Bangladesh is recognized as a highly successful and influential project.,wiki,that,Live Aid,followed
The Concert for Bangladesh is recognized as a highly successful and influential project.,response,>,Generate,Generate
"The Concert for Bangladesh was attended by 40,000 individuals.",wiki,that,Harrison,included
"The Concert for Bangladesh was attended by 40,000 individuals.",wiki,that,Live Aid,followed
"The Concert for Bangladesh was attended by 40,000 individuals.",wiki,that,Harrison,included
"The Concert for Bangladesh was attended by 40,000 individuals.",wiki,that,Live Aid,followed
"The Concert for Bangladesh was attended by 40,000 individuals.",response,>,Generate,Generate
"The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",wiki,that,Harrison,included
"The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",wiki,that,Live Aid,followed
"The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",wiki,that,Harrison,included
"The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",wiki,that,Live Aid,followed
"The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",response,>,Generate,Generate
"The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",response,Statement,"almost $250,000",raised
"The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",response,It,one,was
"The Concert for Bangladesh raised almost $250,000 for Bangladesh relief.",response,statement,"almost $250,000",raised
The Concert for Bangladesh generated awareness and considerable money.,wiki,that,Harrison,included
The Concert for Bangladesh generated awareness and considerable money.,wiki,that,Live Aid,followed
The Concert for Bangladesh generated awareness and considerable money.,wiki,that,Harrison,included
The Concert for Bangladesh generated awareness and considerable money.,wiki,that,Live Aid,followed
The Concert for Bangladesh generated awareness and considerable money.,response,>,Generate,Generate
The Concert for Bangladesh generated awareness and considerable money.,response,concert,over $10 million,raised
The Concert for Bangladesh generated awareness and considerable money.,response,which,over $10 million,was
The Concert for Bangladesh is seen as a highly successful and influential humanitarian aid project.,wiki,that,Harrison,included
The Concert for Bangladesh is seen as a highly successful and influential humanitarian aid project.,wiki,that,Live Aid,followed
The Concert for Bangladesh is seen as a highly successful and influential humanitarian aid project.,wiki,that,Harrison,included
The Concert for Bangladesh is seen as a highly successful and influential humanitarian aid project.,wiki,that,Live Aid,followed
The Concert for Bangladesh is seen as a highly successful and influential humanitarian aid project.,response,>,Generate,Generate
The Concert for Bangladesh provided valuable lessons and inspiration for projects that followed.,wiki,that,Harrison,included
The Concert for Bangladesh provided valuable lessons and inspiration for projects that followed.,wiki,that,Live Aid,followed
The Concert for Bangladesh provided valuable lessons and inspiration for projects that followed.,wiki,that,Harrison,included
The Concert for Bangladesh provided valuable lessons and inspiration for projects that followed.,wiki,that,Live Aid,followed
The Concert for Bangladesh provided valuable lessons and inspiration for projects that followed.,response,>,Generate,Generate
The Concert for Bangladesh was attended by many people.,wiki,that,Harrison,included
The Concert for Bangladesh was attended by many people.,wiki,that,Live Aid,followed
The Concert for Bangladesh was attended by many people.,wiki,that,Harrison,included
The Concert for Bangladesh was attended by many people.,wiki,that,Live Aid,followed
The Concert for Bangladesh was attended by many people.,response,>,Generate,Generate
The Concert for Bangladesh was attended by many people.,response,articles,Concert for Bangladesh,include
The Concert for Bangladesh was attended by many people.,response,articles,George Harrison,include
Avenged Sevenfold was released in October.,wiki,Sevenfold,Kerrang,won
Avenged Sevenfold was released in October.,wiki,Sevenfold,Kerrang,won
Avenged Sevenfold was released in October.,response,>,Generate,Generate
"In 2007, on the day before Halloween, Avenged Sevenfold was released.",wiki,Sevenfold,Kerrang,won
"In 2007, on the day before Halloween, Avenged Sevenfold was released.",wiki,Sevenfold,Kerrang,won
"In 2007, on the day before Halloween, Avenged Sevenfold was released.",response,>,Generate,Generate
"In 2007, on the day before Halloween, Avenged Sevenfold was released.",response,that,Wikipedia,support
Avenged Sevenfold is an album by a band from California.,wiki,Sevenfold,Kerrang,won
Avenged Sevenfold is an album by a band from California.,wiki,Sevenfold,Kerrang,won
Avenged Sevenfold is an album by a band from California.,response,>,Generate,Generate
Avenged Sevenfold is the fourth studio album of an American heavy metal band.,wiki,Sevenfold,Kerrang,won
Avenged Sevenfold is the fourth studio album of an American heavy metal band.,wiki,Sevenfold,Kerrang,won
Avenged Sevenfold is the fourth studio album of an American heavy metal band.,response,>,Generate,Generate
Avenged Sevenfold's fourth studio album is Avenged Sevenfold.,wiki,Sevenfold,Kerrang,won
Avenged Sevenfold's fourth studio album is Avenged Sevenfold.,wiki,Sevenfold,Kerrang,won
Avenged Sevenfold's fourth studio album is Avenged Sevenfold.,response,>,Generate,Generate
Avenged Sevenfold's fourth studio album is Avenged Sevenfold.,response,album,Avenged Sevenfold,is
Avenged Sevenfold's fourth studio album is Avenged Sevenfold.,response,statement,Avenged Sevenfold,is
Avenged Sevenfold is an album by an American heavy metal band.,wiki,Sevenfold,Kerrang,won
Avenged Sevenfold is an album by an American heavy metal band.,wiki,Sevenfold,Kerrang,won
Avenged Sevenfold is an album by an American heavy metal band.,response,>,Generate,Generate
Avenged Sevenfold is the fourth studio album of Avenged Sevenfold.,wiki,Sevenfold,Kerrang,won
Avenged Sevenfold is the fourth studio album of Avenged Sevenfold.,wiki,Sevenfold,Kerrang,won
Avenged Sevenfold is the fourth studio album of Avenged Sevenfold.,response,>,Generate,Generate
Avenged Sevenfold is the fourth studio album of Avenged Sevenfold.,response,album,Sounding the Seeds of Time,Sounding
Warner Bros. released Avenged Sevenfold.,wiki,Sevenfold,Kerrang,won
Warner Bros. released Avenged Sevenfold.,wiki,Sevenfold,Kerrang,won
Warner Bros. released Avenged Sevenfold.,response,>,Generate,Generate
Warner Bros. released Avenged Sevenfold.,response,Bros.,Avenged Sevenfold,released
Warner Bros. released Avenged Sevenfold.,response,Bros.,Avenged Sevenfold,released
Warner Bros. released Avenged Sevenfold.,response,label,Avenged Sevenfold,released
"The Lincoln-Douglas debates happened in Freeport, Illinois.",wiki,that,Douglas,supported
"The Lincoln-Douglas debates happened in Freeport, Illinois.",wiki,that,Douglas,supported
"The Lincoln-Douglas debates happened in Freeport, Illinois.",response,>,Generate,Generate
"The Lincoln-Douglas debates happened in Quincy, Illinois.",wiki,that,Douglas,supported
"The Lincoln-Douglas debates happened in Quincy, Illinois.",wiki,that,Douglas,supported
"The Lincoln-Douglas debates happened in Quincy, Illinois.",response,>,Generate,Generate
"The Lincoln-Douglas debates happened in Alton, Illinois.",wiki,that,Douglas,supported
"The Lincoln-Douglas debates happened in Alton, Illinois.",wiki,that,Douglas,supported
"The Lincoln-Douglas debates happened in Alton, Illinois.",response,>,Generate,Generate
"The Lincoln-Douglas debates happened in Alton, Illinois.",response,they,Alton,held
"The Lincoln-Douglas debates happened in Alton, Illinois.",response,which,the Missouri Compromise,prohibited
"The Lincoln-Douglas debates happened in Alton, Illinois.",response,who,Douglas,was
"The Lincoln-Douglas debates happened in Alton, Illinois.",response,who,Lincoln,was
"The Lincoln-Douglas debates happened in Alton, Illinois.",response,Lincoln,Douglas,defeat
Alton is where the Lincoln-Douglas debates happened.,wiki,that,Douglas,supported
Alton is where the Lincoln-Douglas debates happened.,wiki,that,Douglas,supported
Alton is where the Lincoln-Douglas debates happened.,response,>,Generate,Generate
Alton is where the Lincoln-Douglas debates happened.,response,who,William H. Herndon,was
The Lincoln-Douglas debates occured in Freeport.,wiki,that,Douglas,supported
The Lincoln-Douglas debates occured in Freeport.,wiki,that,Douglas,supported
The Lincoln-Douglas debates occured in Freeport.,response,>,Generate,Generate
"Camden, New Jersey is a large human settlement.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is a large human settlement.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is a large human settlement.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is a large human settlement.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is a large human settlement.",response,>,Generate,Generate
"Camden, New Jersey is a large human settlement.",response,population,"approximately 77,130",was
"Camden, New Jersey is the home of a school that was founded as the South Jersey Law School in 1926.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is the home of a school that was founded as the South Jersey Law School in 1926.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is the home of a school that was founded as the South Jersey Law School in 1926.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is the home of a school that was founded as the South Jersey Law School in 1926.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is the home of a school that was founded as the South Jersey Law School in 1926.",response,>,Generate,Generate
"Camden, New Jersey is the home of a school that was founded as the South Jersey Law School in 1926.",response,One,Rutgers University,is
"Camden, New Jersey is the home of a school that was founded as the South Jersey Law School in 1926.",response,which,Rutgers University,has
"Camden, New Jersey is the home of a school that was founded as the South Jersey Law School in 1926.",response,which,Camden,has
"Camden, New Jersey is in Camden County, New Jersey.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is in Camden County, New Jersey.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is in Camden County, New Jersey.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is in Camden County, New Jersey.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is in Camden County, New Jersey.",response,>,Generate,Generate
"Camden, New Jersey is in Camden County, New Jersey.",response,which,Camden County,is
"Camden, New Jersey is in Camden County, New Jersey.",response,who,William Collier,named
"Camden, New Jersey is in Camden County, New Jersey.",response,income,"around $30,000",is
"Camden, New Jersey is in Camden County, New Jersey.",response,value,"around $120,000",is
"Camden, New Jersey is the location of Cooper Medical School.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is the location of Cooper Medical School.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is the location of Cooper Medical School.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is the location of Cooper Medical School.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is the location of Cooper Medical School.",response,>,Generate,Generate
"Camden, New Jersey is the home of a school that was established as the South Jersey Law School in 1926.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is the home of a school that was established as the South Jersey Law School in 1926.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is the home of a school that was established as the South Jersey Law School in 1926.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is the home of a school that was established as the South Jersey Law School in 1926.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is the home of a school that was established as the South Jersey Law School in 1926.",response,>,Generate,Generate
"Camden, New Jersey is the home of a school that was established as the South Jersey Law School in 1926.",response,who,the South Jersey Law School Association,saw
"Camden, New Jersey is the home of a school that was established as the South Jersey Law School in 1926.",response,it,the Camden College of Law,became
"Camden, New Jersey is the first home of Cooper Medical School.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is the first home of Cooper Medical School.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is the first home of Cooper Medical School.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is the first home of Cooper Medical School.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is the first home of Cooper Medical School.",response,>,Generate,Generate
"Camden, New Jersey is the first home of Cooper Medical School.",response,which,Cooper Hospital,includes
"Camden, New Jersey is the home of Rutgers University -- Camden.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is the home of Rutgers University -- Camden.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is the home of Rutgers University -- Camden.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is the home of Rutgers University -- Camden.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is the home of Rutgers University -- Camden.",response,>,Generate,Generate
"Camden, New Jersey is the home of Rutgers University -- Camden.",response,that,Rutgers University - Camden,offers
"Camden, New Jersey is an American city.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is an American city.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is an American city.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is an American city.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is an American city.",response,>,Generate,Generate
"Camden, New Jersey is the home of a university that was founded as the South Jersey Law School in 1926.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is the home of a university that was founded as the South Jersey Law School in 1926.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is the home of a university that was founded as the South Jersey Law School in 1926.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is the home of a university that was founded as the South Jersey Law School in 1926.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is the home of a university that was founded as the South Jersey Law School in 1926.",response,>,Generate,Generate
"Camden, New Jersey is the home of a university that was founded as the South Jersey Law School in 1926.",response,One,Rutgers University-Camden,is
"Camden, New Jersey is a city.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is a city.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is a city.",wiki,waterfront,the USS New Jersey,holds
"Camden, New Jersey is a city.",wiki,Camden,Cooper University Hospital,houses
"Camden, New Jersey is a city.",response,>,Generate,Generate
"Camden, New Jersey is a city.",response,who,Charles Pratt,had
"Camden, New Jersey is a city.",response,who,Earl Camden,had
"Camden, New Jersey is a city.",response,which,the Camden Shipyard,built
"Camden, New Jersey is a city.",response,which,the New York Shipbuilding Corporation,built
Bret Easton Ellis wrote the screenplay for The Canyons.,wiki,which,one,included
Bret Easton Ellis wrote the screenplay for The Canyons.,wiki,which,Brat Pack,included
Bret Easton Ellis wrote the screenplay for The Canyons.,wiki,which,Tama Janowitz,included
Bret Easton Ellis wrote the screenplay for The Canyons.,wiki,controversy,Alfred A. Knopf,convinced
Bret Easton Ellis wrote the screenplay for The Canyons.,wiki,which,one,included
Bret Easton Ellis wrote the screenplay for The Canyons.,wiki,which,Brat Pack,included
Bret Easton Ellis wrote the screenplay for The Canyons.,wiki,which,Tama Janowitz,included
Bret Easton Ellis wrote the screenplay for The Canyons.,wiki,controversy,Alfred A. Knopf,convinced
Bret Easton Ellis wrote the screenplay for The Canyons.,response,>,Generate,Generate
Bret Easton Ellis wrote the screenplay for The Canyons.,response,film,Lindsay Lohan,stars
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader.,wiki,which,one,included
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader.,wiki,which,Brat Pack,included
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader.,wiki,which,Tama Janowitz,included
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader.,wiki,controversy,Alfred A. Knopf,convinced
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader.,wiki,which,one,included
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader.,wiki,which,Brat Pack,included
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader.,wiki,which,Tama Janowitz,included
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader.,wiki,controversy,Alfred A. Knopf,convinced
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader.,response,>,Generate,Generate
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader and he was criticized.,wiki,which,one,included
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader and he was criticized.,wiki,which,Brat Pack,included
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader and he was criticized.,wiki,which,Tama Janowitz,included
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader and he was criticized.,wiki,controversy,Alfred A. Knopf,convinced
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader and he was criticized.,wiki,which,one,included
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader and he was criticized.,wiki,which,Brat Pack,included
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader and he was criticized.,wiki,which,Tama Janowitz,included
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader and he was criticized.,wiki,controversy,Alfred A. Knopf,convinced
Bret Easton Ellis wrote the screenplay for a film directed by Paul Schrader and he was criticized.,response,>,Generate,Generate
Bret Easton Ellis wrote a screenplay.,wiki,which,one,included
Bret Easton Ellis wrote a screenplay.,wiki,which,Brat Pack,included
Bret Easton Ellis wrote a screenplay.,wiki,which,Tama Janowitz,included
Bret Easton Ellis wrote a screenplay.,wiki,controversy,Alfred A. Knopf,convinced
Bret Easton Ellis wrote a screenplay.,wiki,which,one,included
Bret Easton Ellis wrote a screenplay.,wiki,which,Brat Pack,included
Bret Easton Ellis wrote a screenplay.,wiki,which,Tama Janowitz,included
Bret Easton Ellis wrote a screenplay.,wiki,controversy,Alfred A. Knopf,convinced
Bret Easton Ellis wrote a screenplay.,response,>,Generate,Generate
Bret Easton Ellis wrote a screenplay.,response,Ellis,Wikipedia,wrote
Bret Easton Ellis wrote the screenplay for The Canyons and he was criticized.,wiki,which,one,included
Bret Easton Ellis wrote the screenplay for The Canyons and he was criticized.,wiki,which,Brat Pack,included
Bret Easton Ellis wrote the screenplay for The Canyons and he was criticized.,wiki,which,Tama Janowitz,included
Bret Easton Ellis wrote the screenplay for The Canyons and he was criticized.,wiki,controversy,Alfred A. Knopf,convinced
Bret Easton Ellis wrote the screenplay for The Canyons and he was criticized.,wiki,which,one,included
Bret Easton Ellis wrote the screenplay for The Canyons and he was criticized.,wiki,which,Brat Pack,included
Bret Easton Ellis wrote the screenplay for The Canyons and he was criticized.,wiki,which,Tama Janowitz,included
Bret Easton Ellis wrote the screenplay for The Canyons and he was criticized.,wiki,controversy,Alfred A. Knopf,convinced
Bret Easton Ellis wrote the screenplay for The Canyons and he was criticized.,response,>,Generate,Generate
